Name,,Tm,R,RBI,SB,CS,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PA
,Age,,,,,,,,,,,,,,
Peyton Burdick,26,MIA,4,2,1,0,0.604,63,11,0,1,0,0,0,37
José Caballero,26,SEA,37,26,26,3,0.663,90,74,0,17,0,4,0,280
Trey Cabbage*,26,LAA,5,7,1,1,0.553,49,17,1,0,0,1,0,56
Génesis Cabrera*,26,TOT,0,0,0,0,,,0,0,0,0,0,0,0
Génesis Cabrera*,26,STL,0,0,0,0,,,0,0,0,0,0,0,0
Conner Capel*,26,OAK,6,3,5,3,0.701,104,24,1,1,0,0,0,86
Vinny Capra,26,PIT,3,1,0,0,0.472,31,4,0,0,1,0,0,21
Willi Castro#,26,MIN,60,34,33,5,0.75,106,147,5,12,2,3,1,409
Dylan Coleman,26,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Austin Cox*,26,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Bryan De La Cruz,26,MIA,60,78,4,1,0.715,92,238,18,1,0,5,0,626
Rafael Devers*,26,BOS,90,100,5,1,0.851,126,290,15,11,0,3,10,656
Alexis Díaz,26,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Brendan Donovan*,26,STL,48,34,5,1,0.787,115,138,4,9,1,1,2,371
Daniel Duarte,26,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Jarren Duran*,26,BOS,46,40,24,2,0.828,121,160,3,3,0,2,1,362
Nate Eaton,26,KCR,2,1,3,0,0.2,-42,4,0,1,0,0,0,56
Caleb Ferguson,26,LAD,0,0,0,0,,,0,0,0,0,0,0,0
Nick Fortes,26,MIA,33,26,4,2,0.562,52,88,12,7,3,2,0,323
Logan Gillaspie,26,BAL,0,0,0,0,,,0,0,0,0,0,0,0
Romy Gonzalez,26,CHW,11,14,7,0,0.585,55,35,0,0,1,1,0,97
Trent Grisham*,26,SDP,67,50,15,3,0.666,87,165,7,5,4,1,0,555
Ke'Bryan Hayes,26,PIT,65,61,10,6,0.762,105,224,11,0,0,3,1,525
Jonathan Heasley,26,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Carlos Hernández,26,KCR,0,0,0,0,,,0,0,0,0,0,0,0
José Herrera#,26,ARI,15,7,1,0,0.553,54,26,2,0,5,1,0,120
Bryan Hoeing,26,MIA,0,0,0,0,,,0,0,0,0,0,0,0
Nico Hoerner,26,CHC,98,68,43,7,0.729,97,237,12,14,1,5,0,688
TJ Hopkins,26,CIN,7,1,1,0,0.398,10,7,1,1,0,0,0,44
Jonathan India,26,CIN,78,61,14,2,0.746,100,185,13,16,0,7,0,529
Kyle Isbel*,26,KCR,45,34,7,1,0.662,80,111,5,1,1,2,0,313
Ryan Jeffers,26,MIN,46,43,3,2,0.858,134,140,6,10,4,2,1,335
Eloy Jiménez,26,CHW,50,64,0,0,0.758,104,201,13,1,0,2,2,489
Connor Kaiser,26,COL,0,0,0,0,0,-100,0,0,0,0,0,0,4
Trevor Larnach*,26,MIN,26,40,1,1,0.727,98,76,2,0,0,2,1,212
Nick Madrigal,26,CHC,34,28,10,2,0.663,79,95,3,9,5,0,0,294
Cade Marlowe*,26,SEA,14,11,4,2,0.75,111,37,1,0,0,0,0,100
Nick Maton*,26,DET,29,32,1,2,0.593,63,76,4,3,1,2,1,293
James McArthur,26,KCR,0,0,0,0,,,0,0,0,0,0,0,0
Ryan McKenna,26,BAL,23,18,5,0,0.677,91,44,4,3,3,2,0,139
Owen Miller,26,MIL,29,27,13,2,0.674,84,108,6,2,0,4,1,314
Andruw Monasterio,26,MIL,38,27,7,2,0.678,87,98,9,3,0,2,0,315
Coco Montes,26,COL,3,3,0,0,0.56,44,12,0,1,0,0,0,41
Jovani Morán*,26,MIN,0,0,0,0,,,0,0,0,0,0,0,0
Ryan Mountcastle,26,BAL,64,68,3,1,0.779,117,191,13,3,0,7,1,470
Josh Naylor*,26,CLE,52,97,10,3,0.842,133,221,11,3,0,7,9,495
Kyle Nelson*,26,ARI,0,0,0,0,,,0,0,0,0,0,0,0
Tyler Nevin,26,DET,11,10,0,1,0.622,72,30,1,3,0,1,0,111
James Outman*,26,LAD,86,70,16,3,0.79,112,211,4,12,0,4,1,567
Kevin Padlo,26,LAA,1,0,0,0,0.375,-2,2,1,0,0,0,0,8
Richie Palacios*,26,STL,9,16,2,0,0.823,120,48,1,1,1,1,0,102
Carlos Pérez,26,CHW,5,3,0,0,0.611,65,17,2,0,0,0,0,53
Blake Perkins#,26,MIL,28,20,5,2,0.675,86,50,3,0,2,0,0,168
René Pinto,26,TBR,10,16,0,0,0.723,97,47,2,0,0,0,0,105
Cal Raleigh#,26,SEA,78,75,0,0,0.762,112,234,6,1,0,1,1,569
Luis Rengifo#,26,LAA,55,51,6,4,0.783,111,175,3,6,0,4,0,445
Austin Riley,26,ATL,117,97,3,1,0.861,128,328,18,9,0,11,4,715
Alfonso Rivas*,26,TOT,8,15,1,0,0.725,97,46,1,3,1,1,0,123
Alfonso Rivas*,26,SDP,2,1,0,0,0.627,76,5,0,0,0,0,0,17
Alfonso Rivas*,26,PIT,6,14,1,0,0.741,100,41,1,3,1,1,0,106
Víctor Robles,26,WSN,15,8,8,1,0.75,110,39,3,4,4,0,0,126
Brendan Rodgers,26,COL,21,20,0,0,0.7,80,69,6,3,0,0,0,192
JoJo Romero*,26,STL,0,0,0,0,,,0,0,0,0,0,0,0
Blake Rutherford*,26,WSN,4,2,0,0,0.366,3,6,1,0,0,0,0,36
Tony Santillan,26,CIN,0,0,0,0,,,0,0,0,0,0,0,0
Kevin Smith,26,OAK,15,11,1,0,0.546,54,44,3,1,5,0,0,146
Tyler Stephenson,26,CIN,59,56,0,1,0.696,87,176,16,4,0,1,2,517
Cal Stevenson*,26,SFG,1,0,0,0,0.25,-21,0,0,0,0,0,0,12
Abraham Toro#,26,MIL,4,9,0,0,1.302,252,14,0,1,0,0,0,21
Gleyber Torres,26,NYY,90,68,13,6,0.8,118,270,19,3,0,6,0,672
Cole Tucker#,26,COL,2,2,0,0,1.1,190,4,0,1,0,0,0,10
Kyle Tucker*,26,HOU,97,112,30,5,0.886,142,297,11,3,0,10,9,674
Luis Urías,26,TOT,18,18,0,0,0.636,76,43,4,10,0,0,0,177
Luis Urías,26,MIL,5,5,0,0,0.535,50,13,1,5,0,0,0,68
Luis Urías,26,BOS,13,13,0,0,0.698,91,30,3,5,0,0,0,109
Daulton Varsho*,26,TOR,65,61,16,7,0.674,85,205,5,4,1,3,0,581
Terrin Vavra*,26,BAL,9,5,1,0,0.56,62,12,5,0,2,0,0,56
Matt Vierling,26,DET,63,44,6,6,0.717,96,186,8,5,1,1,1,530
David Villar,26,SFG,15,12,1,1,0.55,51,39,1,4,0,1,0,140
Meibrys Viloria*,26,CLE,0,0,0,0,0.25,-20,0,1,0,0,0,0,4
Taylor Walls#,26,TBR,50,36,22,1,0.638,79,101,1,1,1,0,0,349
Luke Williams,26,TOT,1,0,4,0,0.105,-71,1,0,0,0,0,0,19
Luke Williams,26,LAD,0,0,1,0,0.2,-46,1,0,0,0,0,0,10
Luke Williams,26,ATL,1,0,3,0,0,-100,0,0,0,0,0,0,9
Willy Adames,27,MIL,73,80,5,3,0.717,95,225,12,6,0,6,1,638
